epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,41.4796,0.70362,4.64729,0.01327,0.52657,0.5768,0.58739,0.48379,0.69855,3.55045,0.0198,0.000413333,0.000413333,0.000413333
2,72.3854,0.81085,2.94624,0.01535,0.78428,0.67796,0.78878,0.65403,0.72544,1.84911,0.02053,0.00066566,0.00066566,0.00066566
3,105.465,0.78847,1.98923,0.01478,0.79764,0.81255,0.87174,0.70032,0.8117,0.78284,0.02371,0.000752987,0.000752987,0.000752987
4,137.136,0.80524,1.51274,0.0152,0.8749,0.80134,0.89699,0.73173,0.73961,0.6428,0.02049,0.0005075,0.0005075,0.0005075
5,168.13,0.70827,1.21432,0.01306,0.88711,0.82707,0.90754,0.76078,0.66763,0.58123,0.0181,0.00026,0.00026,0.00026
