epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,74.4729,0.70362,4.64729,0.01327,0.52657,0.5768,0.58739,0.48379,0.69855,3.55045,0.0198,0.000413333,0.000413333,0.000413333
2,138.358,0.81146,3.00821,0.01541,0.72042,0.73329,0.76118,0.61428,0.74977,2.06256,0.02154,0.00080261,0.00080261,0.00080261
3,199.056,0.83367,2.09551,0.01587,0.74418,0.64258,0.75293,0.58353,0.87683,1.17788,0.02598,0.00116439,0.00116439,0.00116439
4,268.22,0.87848,1.59086,0.01697,0.72564,0.72987,0.77639,0.55228,1.04427,1.00673,0.03203,0.00112625,0.00112625,0.00112625
5,328.224,0.85067,1.24279,0.01633,0.82297,0.7442,0.82232,0.66622,0.7543,0.82492,0.02181,0.001085,0.001085,0.001085
6,389.074,0.81966,1.03023,0.01549,0.75114,0.81118,0.84918,0.67593,0.8459,0.78406,0.02515,0.00104375,0.00104375,0.00104375
7,448.644,0.81432,0.94075,0.01537,0.85712,0.82215,0.87439,0.70745,0.77211,0.67782,0.02193,0.0010025,0.0010025,0.0010025
8,509.236,0.7834,0.85936,0.01476,0.86835,0.83507,0.89024,0.72405,0.75204,0.64745,0.02125,0.00096125,0.00096125,0.00096125
9,547.082,0.77673,0.78846,0.01444,0.88447,0.83411,0.90943,0.7384,0.75789,0.56827,0.02168,0.00092,0.00092,0.00092
10,575.098,0.7773,0.79063,0.01467,0.88061,0.82313,0.89871,0.72643,0.76239,0.62969,0.02159,0.00087875,0.00087875,0.00087875
11,604.027,0.7524,0.72593,0.01416,0.86179,0.83663,0.88136,0.71397,0.76492,0.66349,0.02205,0.0008375,0.0008375,0.0008375
12,633.521,0.75051,0.70925,0.0142,0.86509,0.84804,0.89797,0.73314,0.71415,0.60125,0.01957,0.00079625,0.00079625,0.00079625
13,662.688,0.75843,0.69998,0.01378,0.89218,0.83891,0.91166,0.74271,0.74167,0.58933,0.02086,0.000755,0.000755,0.000755
14,691.737,0.7432,0.65063,0.01402,0.90145,0.86096,0.92246,0.75879,0.72986,0.55367,0.02077,0.00071375,0.00071375,0.00071375
15,720.779,0.73415,0.6356,0.01346,0.89789,0.87667,0.92056,0.75245,0.75438,0.55268,0.02093,0.0006725,0.0006725,0.0006725
16,749.931,0.70136,0.60862,0.01301,0.89831,0.88228,0.92928,0.77552,0.6792,0.51781,0.01862,0.00063125,0.00063125,0.00063125
17,779.105,0.68679,0.57957,0.01269,0.90397,0.89962,0.92208,0.77624,0.69783,0.51357,0.0191,0.00059,0.00059,0.00059
18,808.162,0.68564,0.55503,0.01254,0.8945,0.88605,0.92687,0.77555,0.70382,0.52134,0.01956,0.00054875,0.00054875,0.00054875
19,837.851,0.66517,0.53699,0.01243,0.91793,0.89475,0.93804,0.78612,0.68013,0.47552,0.01883,0.0005075,0.0005075,0.0005075
20,2147.93,0.67814,0.53429,0.01228,0.90417,0.88996,0.93182,0.78242,0.66868,0.48891,0.01821,0.00046625,0.00046625,0.00046625
21,2240.29,0.58224,0.44351,0.01503,0.9416,0.8461,0.92859,0.77177,0.68936,0.53633,0.01882,0.000425,0.000425,0.000425
22,2304.01,0.57864,0.3789,0.01464,0.92904,0.87792,0.9416,0.79262,0.66184,0.47936,0.01816,0.00038375,0.00038375,0.00038375
23,2367.42,0.53342,0.35648,0.01347,0.94108,0.89071,0.94731,0.79925,0.65524,0.46284,0.0178,0.0003425,0.0003425,0.0003425
24,2430.2,0.51171,0.32925,0.01235,0.94028,0.88103,0.93147,0.78528,0.64643,0.47901,0.01725,0.00030125,0.00030125,0.00030125
25,2491.81,0.50864,0.31563,0.01247,0.89297,0.90409,0.93926,0.78469,0.67677,0.47472,0.01818,0.00026,0.00026,0.00026
26,2553.03,0.48561,0.31783,0.01145,0.91422,0.87993,0.93692,0.79004,0.65381,0.4846,0.01748,0.00021875,0.00021875,0.00021875
27,2598.5,0.48182,0.28514,0.01191,0.93131,0.88274,0.94133,0.79404,0.66304,0.48734,0.01795,0.0001775,0.0001775,0.0001775
28,2659.69,0.47294,0.28713,0.01139,0.90568,0.89795,0.93905,0.79722,0.64547,0.48307,0.01732,0.00013625,0.00013625,0.00013625
29,2730.74,0.46108,0.28593,0.01094,0.92202,0.90846,0.94506,0.80444,0.63361,0.45682,0.01692,9.5e-05,9.5e-05,9.5e-05
30,2792.49,0.45223,0.27074,0.01061,0.93712,0.88244,0.94006,0.80121,0.63264,0.47674,0.01688,5.375e-05,5.375e-05,5.375e-05
