epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.5491,0.70362,4.64729,0.01327,0.52657,0.5768,0.58739,0.48379,0.69855,3.55045,0.0198,0.000413333,0.000413333,0.000413333
2,100.521,0.81056,3.0251,0.01532,0.75225,0.6918,0.7787,0.6131,0.78982,2.15658,0.02313,0.000819729,0.000819729,0.000819729
3,164.131,0.8456,2.14981,0.01606,0.75844,0.67005,0.74826,0.5777,0.87285,1.15537,0.0266,0.00121581,0.00121581,0.00121581
4,226.433,0.85395,1.59978,0.01639,0.75595,0.70608,0.77116,0.58941,0.88784,0.92684,0.02631,0.00120359,0.00120359,0.00120359
5,288.033,0.8414,1.26843,0.01625,0.8507,0.74863,0.8461,0.67932,0.79681,0.79538,0.02308,0.00118812,0.00118812,0.00118812
6,349.935,0.83718,1.08175,0.01599,0.81902,0.80843,0.86447,0.67268,0.88242,0.73909,0.02609,0.00117266,0.00117266,0.00117266
7,410.846,0.81525,0.94612,0.01546,0.82418,0.81784,0.85895,0.67683,0.81757,0.74061,0.02379,0.00115719,0.00115719,0.00115719
8,459.669,0.81835,0.89383,0.01541,0.8337,0.7832,0.85366,0.66598,0.8418,0.78091,0.02483,0.00114172,0.00114172,0.00114172
9,516.954,0.81028,0.83241,0.01519,0.83966,0.81084,0.86804,0.67962,0.8404,0.71887,0.02495,0.00112625,0.00112625,0.00112625
10,582.735,0.81547,0.84112,0.01545,0.84103,0.77885,0.85906,0.67907,0.86405,0.73991,0.02593,0.00111078,0.00111078,0.00111078
11,647.015,0.78917,0.77274,0.01491,0.84791,0.83513,0.89455,0.70695,0.79807,0.66019,0.02284,0.00109531,0.00109531,0.00109531
12,717.854,0.77573,0.72849,0.01493,0.89212,0.82434,0.90818,0.73141,0.77066,0.59537,0.0218,0.00107984,0.00107984,0.00107984
13,782.794,0.79035,0.73729,0.01468,0.86356,0.83837,0.88842,0.72343,0.74614,0.65173,0.02125,0.00106437,0.00106437,0.00106437
14,848.461,0.79381,0.73075,0.01514,0.87488,0.82092,0.89755,0.69957,0.85889,0.70657,0.02503,0.00104891,0.00104891,0.00104891
