epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,44.3242,0.76885,1.86488,1.24538,0.78206,0.81785,0.85878,0.65202,0.80443,1.2128,1.30786,0.000413333,0.000413333,0.000413333
2,80.7178,0.81655,1.27956,1.25244,0.72301,0.64379,0.68668,0.44727,1.19004,1.57538,1.84416,0.000813566,0.000813566,0.000813566
3,106.325,0.87095,1.17572,1.28125,0.75326,0.73389,0.78268,0.55048,0.92725,1.16965,1.42356,0.0011973,0.0011973,0.0011973
4,126.617,0.87118,1.0964,1.28715,0.7096,0.66777,0.71983,0.45448,1.16279,1.39787,1.82707,0.00117575,0.00117575,0.00117575
5,147.305,0.83421,0.97376,1.25985,0.82526,0.778,0.83913,0.61857,0.90542,0.943,1.39655,0.001151,0.001151,0.001151
6,168.413,0.82405,0.90062,1.25397,0.89003,0.8007,0.85853,0.64366,0.87526,0.86621,1.36322,0.00112625,0.00112625,0.00112625
7,189.201,0.79084,0.842,1.22491,0.82715,0.75381,0.86292,0.66191,0.84048,0.8601,1.30535,0.0011015,0.0011015,0.0011015
8,210.004,0.77794,0.79009,1.22076,0.77449,0.79622,0.83974,0.61869,0.88811,0.8936,1.35822,0.00107675,0.00107675,0.00107675
9,230.626,0.75945,0.74895,1.20431,0.7306,0.7726,0.79752,0.61089,0.85659,0.93309,1.32305,0.001052,0.001052,0.001052
10,251.212,0.76311,0.76014,1.21263,0.90429,0.82335,0.90017,0.69984,0.80442,0.71836,1.2937,0.00102725,0.00102725,0.00102725
11,271.996,0.735,0.69665,1.19522,0.85991,0.83611,0.90483,0.72808,0.74612,0.71326,1.23099,0.0010025,0.0010025,0.0010025
12,292.671,0.73043,0.67654,1.19236,0.88367,0.85795,0.90672,0.70777,0.75081,0.6536,1.24685,0.00097775,0.00097775,0.00097775
13,313.722,0.73301,0.67482,1.1919,0.88891,0.84509,0.90077,0.7169,0.77006,0.71625,1.25952,0.000953,0.000953,0.000953
14,334.447,0.72099,0.66651,1.19142,0.88528,0.85267,0.90982,0.71774,0.76557,0.67638,1.2492,0.00092825,0.00092825,0.00092825
15,355.196,0.72105,0.63431,1.18274,0.83494,0.83547,0.89469,0.70307,0.79726,0.773,1.29577,0.0009035,0.0009035,0.0009035
16,375.725,0.69289,0.63167,1.16661,0.92248,0.86853,0.92304,0.73972,0.73975,0.58694,1.22117,0.00087875,0.00087875,0.00087875
17,397,0.67944,0.60979,1.16079,0.90441,0.84763,0.89681,0.7062,0.78493,0.61993,1.27193,0.000854,0.000854,0.000854
18,419.308,0.68196,0.59222,1.15586,0.88422,0.8721,0.91814,0.74873,0.71486,0.6153,1.20622,0.00082925,0.00082925,0.00082925
19,440.949,0.67456,0.57292,1.15571,0.91205,0.86521,0.93299,0.75301,0.71224,0.59849,1.18955,0.0008045,0.0008045,0.0008045
20,461.663,0.67942,0.58374,1.15856,0.92205,0.87777,0.92407,0.75035,0.73246,0.56181,1.22482,0.00077975,0.00077975,0.00077975
21,482.254,0.65803,0.53757,1.14598,0.91765,0.88757,0.93816,0.76377,0.70354,0.52199,1.18264,0.000755,0.000755,0.000755
22,502.926,0.65724,0.54753,1.15057,0.9405,0.89017,0.93723,0.74791,0.72881,0.52879,1.20751,0.00073025,0.00073025,0.00073025
23,523.402,0.65026,0.52661,1.13231,0.88908,0.90727,0.93805,0.76077,0.6972,0.52254,1.18043,0.0007055,0.0007055,0.0007055
24,544.22,0.64433,0.51197,1.12718,0.93594,0.89071,0.9389,0.76812,0.7032,0.52326,1.1896,0.00068075,0.00068075,0.00068075
25,565.139,0.64653,0.52818,1.14109,0.90504,0.90762,0.93843,0.7542,0.71937,0.51299,1.19619,0.000656,0.000656,0.000656
26,586.052,0.63168,0.50974,1.13152,0.91672,0.91219,0.95055,0.76302,0.71624,0.50276,1.19362,0.00063125,0.00063125,0.00063125
27,606.718,0.61717,0.48933,1.11747,0.94504,0.9,0.94581,0.76603,0.72352,0.48267,1.21368,0.0006065,0.0006065,0.0006065
28,627.516,0.61461,0.4851,1.11353,0.95076,0.89184,0.94642,0.77462,0.69155,0.48728,1.18939,0.00058175,0.00058175,0.00058175
29,649.364,0.61561,0.48385,1.1171,0.94124,0.90895,0.93862,0.75704,0.70426,0.50031,1.1969,0.000557,0.000557,0.000557
30,670.664,0.60392,0.48467,1.11146,0.91891,0.89554,0.93332,0.76381,0.67438,0.49881,1.16949,0.00053225,0.00053225,0.00053225
31,692.161,0.60302,0.47689,1.11256,0.93079,0.90336,0.93454,0.75941,0.69689,0.49897,1.17802,0.0005075,0.0005075,0.0005075
32,713.684,0.59359,0.46302,1.10922,0.89629,0.90664,0.93605,0.75537,0.70794,0.5364,1.20109,0.00048275,0.00048275,0.00048275
33,734.97,0.5875,0.46291,1.10366,0.91039,0.90107,0.93972,0.76127,0.70464,0.52274,1.19323,0.000458,0.000458,0.000458
34,1145.75,0.59317,0.4458,1.10972,0.92947,0.89991,0.9372,0.76628,0.68393,0.48531,1.17788,0.00043325,0.00043325,0.00043325
35,1166.54,0.56823,0.4365,1.0906,0.91996,0.91342,0.93061,0.75422,0.69769,0.49552,1.19126,0.0004085,0.0004085,0.0004085
36,1187.68,0.58532,0.44835,1.09613,0.92052,0.91105,0.9326,0.76172,0.68325,0.49074,1.17534,0.00038375,0.00038375,0.00038375
37,1210.22,0.56189,0.43923,1.09195,0.93204,0.89597,0.94272,0.77365,0.6691,0.48394,1.16367,0.000359,0.000359,0.000359
38,1232.91,0.57639,0.42472,1.09414,0.93354,0.90061,0.93918,0.77236,0.65846,0.47754,1.15391,0.00033425,0.00033425,0.00033425
39,1256.37,0.56369,0.41855,1.08959,0.94546,0.89695,0.94071,0.78112,0.66354,0.46096,1.15675,0.0003095,0.0003095,0.0003095
40,1280.22,0.55866,0.40646,1.08299,0.94197,0.91024,0.94725,0.78251,0.66058,0.44738,1.16117,0.00028475,0.00028475,0.00028475
41,1325.73,0.48247,0.35073,1.07175,0.94783,0.90624,0.94049,0.77958,0.67068,0.46787,1.17086,0.00026,0.00026,0.00026
42,1345.91,0.46269,0.31988,1.04975,0.93636,0.91123,0.93904,0.77821,0.65187,0.46094,1.14643,0.00023525,0.00023525,0.00023525
43,1366.24,0.44875,0.30827,1.04364,0.93143,0.90558,0.93877,0.78179,0.64524,0.46556,1.13794,0.0002105,0.0002105,0.0002105
44,1386.38,0.43655,0.29358,1.03707,0.92599,0.91556,0.94511,0.79251,0.64771,0.46753,1.14851,0.00018575,0.00018575,0.00018575
