epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6347.75,0.63547,2.1709,1.15188,0.70364,0.70705,0.7725,0.64935,0.59052,2.08326,1.11436,0.000330808,0.000330808,0.000330808
2,7499.59,0.66641,1.44769,1.15064,0.72719,0.67725,0.79932,0.63895,0.71641,2.06945,1.21442,0.000532641,0.000532641,0.000532641
3,8617.79,0.63488,1.2501,1.13297,0.77018,0.78671,0.87525,0.73797,0.59944,1.45554,1.10768,0.000602475,0.000602475,0.000602475
4,9772.72,0.59061,1.08995,1.10008,0.89645,0.85149,0.93107,0.80249,0.5553,1.02395,1.06875,0.000406,0.000406,0.000406
5,10889.4,0.5322,0.89214,1.06159,0.94079,0.90836,0.96598,0.85853,0.47269,0.83825,0.99273,0.000208,0.000208,0.000208
